Altium Designer Pick and Place Locations
D:\FLOWMEET Dropbox\flowmeet\ID\Electronica\Equipos\FMC-320U\hardware\altium\model_a\trunk\FMC-320U-A1\Project Outputs for FMC-320U-A1\Pick Place for FMC-320U-A1.txt

========================================================================================================================
File Design Information:

Date:       24/11/24
Time:       16:49
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                Layer       Footprint                  Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                          
R22        2K2                    TopLayer    RES_SM0805_YAGEORC_N       30.5730      80.4026      0        "RES 2K2 SM0805 YAGEO RC_L"                                                                                                                                                          
R23        2K2                    TopLayer    RES_SM0805_YAGEORC_N       30.6000      78.2516      0        "RES 2K2 SM0805 YAGEO RC_L"                                                                                                                                                          
ESD4       ESDALC6V1W5            TopLayer    ESDALC6V1W5                15.0250      57.4500      180      "TVS Diode Array Uni-Directional 6.1V 
QTY 5 per pack, SOT-323

Ranking 5: 
Marca reconocida.
Usado en placas nucleo, sometidas a manipuleo nunca note un pin quemado por ESD." 
R26        1K                     TopLayer    RES_SM0805_YAGEORC_N       12.6480      59.9750      0        "RES 1K SM0805 YAGEO RC_L"                                                                                                                                                           
R25        1K                     TopLayer    RES_SM0805_YAGEORC_N       17.1500      64.4020      270      "RES 1K SM0805 YAGEO RC_L"                                                                                                                                                           
R21        1K                     TopLayer    RES_SM0805_YAGEORC_N       19.7500      64.3770      270      "RES 1K SM0805 YAGEO RC_L"                                                                                                                                                           
R20        1K                     TopLayer    RES_SM0805_YAGEORC_N       22.1000      64.3250      270      "RES 1K SM0805 YAGEO RC_L"                                                                                                                                                           
CN1        PH2.54-07-06PWD        TopLayer    HEADER_PIN_1X6_A_90_GRADOS 9.7500       18.8100      270      "1 x 6 - true hole  2.54mm - Pb free - 90°"                                                                                                                                          
BH1        CR2032                 BottomLayer BS-08-B2AA016              68.3750      73.2776      0        "Battery base -25?~+85? CR2032 SMD Battery Connectors ROHS"                                                                                                                          
C8         10uF                   TopLayer    CAP_SM0805_YAGEOCC2_N      19.9250      79.1750      180      "CAP 10uF SM0805 X5R 25V YAGEO"                                                                                                                                                      
LD1        ERROR                  BottomLayer LED_0805                   34.7750      80.4526      0        ""                                                                                                                                                                                   
J3         PH2.54-07-04PWS-JUMPER TopLayer    HEADER_PIN_2X4_A_90_GRADOS 12.9700      66.6150      270      "2 x 4 - true hole  2.54mm 90°"                                                                                                                                                      
C24        10uF                   TopLayer    CAP_SM0805_YAGEOCC2_N      13.6230      25.1500      0        "CAP 10uF SM0805 X5R 25V YAGEO"                                                                                                                                                      
C19        10uF                   TopLayer    CAP_SM0805_YAGEOCC2_N      53.0270      50.0026      0        "CAP 10uF SM0805 X5R 25V YAGEO"                                                                                                                                                      
C14        2.2uF                  TopLayer    CAP_SM0805_YAGEOCC2_N      50.8500      32.4026      270      "CAP 2u2F SM0805 X7R 25V YAGEO CC2"                                                                                                                                                  
LD2        RUN                    BottomLayer LED_0805                   34.8000      78.3776      0        ""                                                                                                                                                                                   
U2         STM32U575VIT6Q         TopLayer    STM32U575VI                41.2000      44.1276      90       ""                                                                                                                                                                                   
