Altium Designer Pick and Place Locations
C:\Users\Gamarra\AppData\Local\TempReleases\Snapshot\1\Assembly\Pick Place\Pick Place for FMC-320U-A2.txt

========================================================================================================================
File Design Information:

Date:       01/12/24
Time:       09:34
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Center-X(mil) Center-Y(mil) Comment            Description                                                                                    Designator Footprint             Layer       Rotation 
272.638       2624.606      WJ15EDGVC-3.81-3P  "TERM BLOK FEMALE 1X3 3.81MM"                                                                  P3         HEADER_PLUG_3         TopLayer    90       
203.740       1328.740      10K                "RES 10K SM0805 YAGEO RC_L"                                                                    R4         RES_SM0805_YAGEORC_N  TopLayer    90       
107.284       1328.819      10K                "RES 10K SM0805 YAGEO RC_L"                                                                    R3         RES_SM0805_YAGEORC_N  TopLayer    90       
152.480       1052.165      100nF              "CAP 100nF SM0805 X7R 25V YAGEO CC2"                                                           C9         CAP_SM0805_YAGEOCC2_N TopLayer    180      
149.606       1160.433      STS40-BD1B-R3      "Board Mount Temperature Sensors Base Accuracy Version, I2C Address 0x45"                      B1         STS40BD1BR3           TopLayer    270      
1239.173      3031.496      WJ15EDGVC-3.81-3P  "TERM BLOK FEMALE 1X3 3.81MM"                                                                  P4         HEADER_PLUG_3         TopLayer    0        
2546.338      2526.850      1M                 "RES 1M SM0805 YAGEO RC_L"                                                                     R31        RES_SM0805_YAGEORC_N  TopLayer    0        
1811.024      2362.205      DW200R-11-08-43    "1 x 8 - tru hole 2mm - altura 4.3mm"                                                          CN1        DW200R-11-08-43       TopLayer    180      
1041.693      2283.780      BAV23S             "DIODE ARRAY GP 250V 200MA SOT23"                                                              D3         BAV23S                TopLayer    270      
1276.693      2423.780      MCP6541            "IC COMP PP I/O SNGL 1.6V 8SOIC"                                                               U1         MCP6541-E/SN          TopLayer    270      
1291.969      2198.976      1K                 "RES 1K SM0805 YAGEO RC_L"                                                                     R12        RES_SM0805_YAGEORC_N  TopLayer    0        
2120.945      2612.402      1M                 "RES 1M SM0805 YAGEO RC_L"                                                                     R8         RES_SM0805_YAGEORC_N  TopLayer    0        
2120.079      2706.693      1M                 "RES 1M SM0805 YAGEO RC_L"                                                                     R7         RES_SM0805_YAGEORC_N  TopLayer    0        
1041.693      2468.780      BAV23S             "DIODE ARRAY GP 250V 200MA SOT23"                                                              D4         BAV23S                TopLayer    270      
1963.583      2666.339      "Usar Equivalente" "1 x 2 - true hole  2.54mm - Pb free"                                                          J5         HEADER_PIN_1X2        TopLayer    90       
2125.039      2505.866      1uF                "CAP 1uF SM0805 X7R 25V YAGEO CC2"                                                             C6         CAP_SM0805_YAGEOCC2_N TopLayer    0        
1560.945      2503.937      33pF               "CAP 33pF SM0805 NPO 50V YAGEO CC2"                                                            C5         CAP_SM0805_YAGEOCC2_N TopLayer    0        
