Altium Designer Pick and Place Locations
D:\FLOWMEET Dropbox\flowmeet\id\equipos\fmc-320u\hardware\altium\model_a\trunk\FMC-320U-A2\Project Outputs for FMC-320U-A2\Pick Place for FMC-320U-A2.txt

========================================================================================================================
File Design Information:

Date:       09/11/23
Time:       14:46
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                 Layer       Footprint             Center-X(mm) Center-Y(mm) Rotation Description                                                                                    
J7         "Usar Equivalente"      TopLayer    HEADER_PIN_1X2        43.8800      54.8750      360      "1 x 2 - true hole  2.54mm - Pb free"                                                          
J6         "Usar Equivalente"      TopLayer    HEADER_PIN_1X2        15.6750      56.5000      270      "1 x 2 - true hole  2.54mm - Pb free"                                                          
CN1        "Usar Equivalente"      TopLayer    HEADER_PIN_1X2        33.2300      31.8500      180      "1 x 2 - true hole  2.54mm - Pb free"                                                          
EMC3080-P  EMC3080-P               TopLayer    EMC3080-P             31.4250      43.3000      270      "Solamente es el zocalo donde va montado el chip, por eso no tiene modelo 3D"                  
C21        4.7uF                   TopLayer    CAP_SM0805_YAGEOCC2_N 57.6270      30.6000      180      "CAP 4.7uF SM0805 X5R 10V YAGEO CC2"                                                           
C20        4.7uF                   TopLayer    CAP_SM0805_YAGEOCC2_N 3.2500       26.6000      180      "CAP 4.7uF SM0805 X5R 10V YAGEO CC2"                                                           
C18        4.7uF                   TopLayer    CAP_SM0805_YAGEOCC2_N 12.8500      36.7730      270      "CAP 4.7uF SM0805 X5R 10V YAGEO CC2"                                                           
C13        100nF                   TopLayer    CAP_SM0805_YAGEOCC2_N 15.2250      36.7730      270      "CAP 100nF SM0805 X7R 25V YAGEO CC2"                                                           
BH2        "Battery Holder CR2032" BottomLayer BS-08-B2AA016         48.3750      15.3250      90       "Battery base -25?~+85? CR2032 SMD Battery Connectors ROHS"                                    
P4         WJ15EDGVC-3.81-3P       TopLayer    HEADER_PLUG_3         26.5000      75.9460      360      "TERM BLOK FEMALE 1X3 3.81MM"                                                                  
P5         WJ15EDGVC-3.81-3P       TopLayer    HEADER_PLUG_3         84.8360      26.0000      270      "TERM BLOK FEMALE 1X3 3.81MM"                                                                  
P3         WJ15EDGVC-3.81-3P       TopLayer    HEADER_PLUG_3         7.5000       61.4000      90       "TERM BLOK FEMALE 1X3 3.81MM"                                                                  
P2         WJ15EDGVC-3.81-2P       TopLayer    HEADER_PLUG_2         61.4680      75.9460      0        "TERM BLOK FEMALE 1X2 3.81MM"                                                                  
P1         WJ15EDGVC-3.81-2P       TopLayer    HEADER_PLUG_2         72.1360      75.9460      0        "TERM BLOK FEMALE 1X2 3.81MM"                                                                  
C17        4.7uF                   TopLayer    CAP_SM0805_YAGEOCC2_N 23.0270      30.5250      360      "CAP 4.7uF SM0805 X5R 10V YAGEO CC2"                                                           
C16        100nF                   TopLayer    CAP_SM0805_YAGEOCC2_N 59.4360      66.0400      90       "CAP 100nF SM0805 X7R 25V YAGEO CC2"                                                           
C15        100nF                   TopLayer    CAP_SM0805_YAGEOCC2_N 57.6500      32.9250      180      "CAP 100nF SM0805 X7R 25V YAGEO CC2"                                                           
