Altium Designer Pick and Place Locations
D:\FLOWMEET Dropbox\flowmeet\ID\Electronica\Equipos\FMC-320U\Hardware\Altium\Modelo A\tags\FMC-320U-A2 V1R2R1\Project Outputs for FMC-320U-A2\Pick Place for FMC-320U-A2.txt

========================================================================================================================
File Design Information:

Date:       01/12/24
Time:       11:35
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment            Layer       Footprint             Center-X(mm) Center-Y(mm) Rotation Description                                                                                    
P3         WJ15EDGVC-3.81-3P  TopLayer    HEADER_PLUG_3         6.9250       66.6650      90       "TERM BLOK FEMALE 1X3 3.81MM"                                                                  
R4         10K                TopLayer    RES_SM0805_YAGEORC_N  5.1750       33.7500      90       "RES 10K SM0805 YAGEO RC_L"                                                                    
R3         10K                TopLayer    RES_SM0805_YAGEORC_N  2.7250       33.7520      90       "RES 10K SM0805 YAGEO RC_L"                                                                    
C9         100nF              TopLayer    CAP_SM0805_YAGEOCC2_N 3.8730       26.7250      180      "CAP 100nF SM0805 X7R 25V YAGEO CC2"                                                           
B1         STS40-BD1B-R3      TopLayer    STS40BD1BR3           3.8000       29.4750      270      "Board Mount Temperature Sensors Base Accuracy Version, I2C Address 0x45"                      
P4         WJ15EDGVC-3.81-3P  TopLayer    HEADER_PLUG_3         31.4750      77.0000      0        "TERM BLOK FEMALE 1X3 3.81MM"                                                                  
R31        1M                 TopLayer    RES_SM0805_YAGEORC_N  64.6770      64.1820      0        "RES 1M SM0805 YAGEO RC_L"                                                                     
CN1        DW200R-11-08-43    TopLayer    DW200R-11-08-43       46.0000      60.0000      180      "1 x 8 - tru hole 2mm - altura 4.3mm"                                                          
D3         BAV23S             TopLayer    BAV23S                26.4590      58.0080      270      "DIODE ARRAY GP 250V 200MA SOT23"                                                              
U1         MCP6541            TopLayer    MCP6541-E/SN          32.4280      61.5640      270      "IC COMP PP I/O SNGL 1.6V 8SOIC"                                                               
R12        1K                 TopLayer    RES_SM0805_YAGEORC_N  32.8160      55.8540      0        "RES 1K SM0805 YAGEO RC_L"                                                                     
R8         1M                 TopLayer    RES_SM0805_YAGEORC_N  53.8720      66.3550      0        "RES 1M SM0805 YAGEO RC_L"                                                                     
